Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
550000,0.048903447,86.26548672566372,12.130006,42.45752211482124,42.45752211482124,1.0
560000,0.048777286,88.95614035087719,12.25849,43.50086957216263,43.50086957216263,1.0
570000,0.049049053,74.828125,12.452774,36.676744202772774,36.676744202772774,1.0
580000,0.049327437,87.5701754385965,12.547206,43.219469018214575,43.219469018214575,1.0
590000,0.048213363,69.64335664335664,12.715965,34.095138904535105,34.095138904535105,1.0
600000,0.04905829,84.6283185840708,12.882206,41.60619471558427,41.60619471558427,1.0
610000,0.04476462,83.6198347107438,13.038669,41.09669430837158,41.09669430837158,1.0
620000,0.046235323,83.2892561983471,13.093772,40.942148719444745,40.942148719444745,1.0
630000,0.04657889,75.44186046511628,13.35681,36.82343750540167,36.82343750540167,1.0
640000,0.04389694,83.91150442477876,13.450095,41.42807022312231,41.42807022312231,1.0
650000,0.04467023,85.83050847457628,13.641419,42.22203395225234,42.22203395225234,1.0
660000,0.046592724,82.45299145299145,13.777541,40.53247861424063,40.53247861424063,1.0
670000,0.04583845,90.85714285714286,14.005783,44.73660715829049,44.73660715829049,1.0
680000,0.04561678,78.6774193548387,13.996722,38.596799999237064,38.596799999237064,1.0
690000,0.04469448,82.22950819672131,14.277588,40.58429755405946,40.58429755405946,1.0
700000,0.043252297,83.8974358974359,14.313514,41.07966107130051,41.07966107130051,1.0
710000,0.041174434,90.14150943396227,14.57487,44.28476193972996,44.28476193972996,1.0
720000,0.042416815,88.87068965517241,14.68875,43.808547002128044,43.808547002128044,1.0
730000,0.04259457,88.69369369369369,14.815453,43.9072726932439,43.9072726932439,1.0
740000,0.04123885,77.03787878787878,14.935777,37.87265625875443,37.87265625875443,1.0
750000,0.041879788,77.82926829268293,15.068736,37.957812478765845,37.957812478765845,1.0
760000,0.044820867,86.90178571428571,15.134508,42.760714368628605,42.760714368628605,1.0
770000,0.043248612,88.12280701754386,15.3230915,43.3473684730237,43.3473684730237,1.0
780000,0.042573556,81.4758064516129,15.451378,39.856910626093544,39.856910626093544,1.0
790000,0.042107247,89.60194174757281,15.653274,44.28749997398028,44.28749997398028,1.0
800000,0.044255774,77.29457364341086,15.600217,37.75312504731119,37.75312504731119,1.0
810000,0.039927255,84.36440677966101,15.921306,41.63025214191244,41.63025214191244,1.0
820000,0.03976088,84.57627118644068,15.934445,41.59576274075751,41.59576274075751,1.0
830000,0.042499032,88.070796460177,16.039457,43.03596496372892,43.03596496372892,1.0
840000,0.041194897,84.57142857142857,16.120024,41.547899198131404,41.547899198131404,1.0
850000,0.042164404,85.31818181818181,16.359543,41.77657666721859,41.77657666721859,1.0
860000,0.042403284,87.23008849557522,16.433954,42.81491233591448,42.81491233591448,1.0
870000,0.040680714,82.77868852459017,16.667286,40.68196721839123,40.68196721839123,1.0
