Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.6931074,10.68720930232558,0.18370116,4.64011696068167,4.64011696068167,1.0
20000,0.6795079,12.040469973890339,0.5434577,5.30962288395171,5.30962288395171,1.0
30000,0.63175124,14.555905511811023,1.121015,6.563043471078695,6.563043471078695,1.0
40000,0.55022484,17.02707581227437,1.8075808,7.7778777029874515,7.7778777029874515,1.0
50000,0.5266183,19.204453441295545,2.0694122,8.886262626358956,8.886262626358956,1.0
60000,0.49191275,21.398663697104677,2.2818754,10.016964273793358,10.016964273793358,1.0
70000,0.46477285,24.45077720207254,2.3682933,11.505089081425703,11.505089081425703,1.0
80000,0.42849562,26.698060941828256,2.6844957,12.647075189521386,12.647075189521386,1.0
90000,0.38718602,31.042345276872965,2.9460294,14.866447350304378,14.866447350304378,1.0
100000,0.35612038,35.548507462686565,3.250969,16.92988927249979,16.92988927249979,1.0
110000,0.3281059,38.76293103448276,3.4512928,18.683966256898163,18.683966256898163,1.0
120000,0.30968636,43.0210970464135,3.76903,20.985897408081936,20.985897408081936,1.0
130000,0.27882838,44.36666666666667,4.0558853,21.26869159686231,21.26869159686231,1.0
140000,0.2595752,50.78212290502793,4.170463,24.69101122557447,24.69101122557447,1.0
150000,0.2388947,54.72727272727273,4.5263476,26.561797758836423,26.561797758836423,1.0
160000,0.21820293,64.12582781456953,4.699249,31.4920529561327,31.4920529561327,1.0
170000,0.20357615,64.94444444444444,4.926736,31.400787431893388,31.400787431893388,1.0
180000,0.18682756,82.92660550458716,5.2920423,40.82000001181256,40.82000001181256,1.0
190000,0.18202388,88.09909909909909,5.6842985,43.23482142974223,43.23482142974223,1.0
200000,0.16630764,88.91743119266054,5.994328,43.61545458273454,43.61545458273454,1.0
210000,0.16007918,91.78,6.3617697,45.19299997031689,45.19299997031689,1.0
220000,0.15523013,87.01904761904763,6.6404085,42.82571429354804,42.82571429354804,1.0
230000,0.14931527,97.11428571428571,6.8552637,48.614953244400915,48.614953244400915,1.0
240000,0.14009805,99.80952380952381,7.1558614,49.688349487133394,49.688349487133394,1.0
250000,0.13208078,96.79166666666667,7.373174,46.370103099297005,46.370103099297005,1.0
260000,0.12943414,103.53191489361703,7.641738,52.19263159664054,52.19263159664054,1.0
